studyName,Sample_Number,Species,Island,Individual_ID,Date_Egg,Culmen_Length_mm,Culmen_Depth_mm,Flipper_Length_mm,Body_Mass_g,Sex,Delta_15_N,Delta_13_C
PAL0910,101,Adelie Penguin (Pygoscelis adeliae),Biscoe,N47A1,2009-11-09,35,17.9,192,3725,FEMALE,8.84451,-26.28055
PAL0910,102,Adelie Penguin (Pygoscelis adeliae),Biscoe,N47A2,2009-11-09,41,20,203,4725,MALE,9.01079,-26.38085
PAL0910,103,Adelie Penguin (Pygoscelis adeliae),Biscoe,N49A1,2009-11-15,37.7,16,183,3075,FEMALE,9.2151,-26.2253
PAL0910,104,Adelie Penguin (Pygoscelis adeliae),Biscoe,N49A2,2009-11-15,37.8,20,190,4250,MALE,9.51929,-25.69199
PAL0910,105,Adelie Penguin (Pygoscelis adeliae),Biscoe,N51A1,2009-11-15,37.9,18.6,193,2925,FEMALE,9.02642,-25.86482
PAL0910,106,Adelie Penguin (Pygoscelis adeliae),Biscoe,N51A2,2009-11-15,39.7,18.9,184,3550,MALE,8.85699,-25.80208
PAL0910,107,Adelie Penguin (Pygoscelis adeliae),Biscoe,N53A1,2009-11-15,38.6,17.2,199,3750,FEMALE,8.77322,-26.48973
PAL0910,108,Adelie Penguin (Pygoscelis adeliae),Biscoe,N53A2,2009-11-15,38.2,20,190,3900,MALE,9.59245,-25.70711
PAL0910,109,Adelie Penguin (Pygoscelis adeliae),Biscoe,N55A1,2009-11-20,38.1,17,181,3175,FEMALE,9.79532,-25.27385
PAL0910,110,Adelie Penguin (Pygoscelis adeliae),Biscoe,N55A2,2009-11-20,43.2,19,197,4775,MALE,9.31735,-25.45171
PAL0910,111,Adelie Penguin (Pygoscelis adeliae),Biscoe,N58A1,2009-11-12,38.1,16.5,198,3825,FEMALE,8.43951,-26.57563
PAL0910,112,Adelie Penguin (Pygoscelis adeliae),Biscoe,N58A2,2009-11-12,45.6,20.3,191,4600,MALE,8.65466,-26.32909
PAL0910,113,Adelie Penguin (Pygoscelis adeliae),Biscoe,N60A1,2009-11-15,39.7,17.7,193,3200,FEMALE,9.02657,-26.06203
PAL0910,114,Adelie Penguin (Pygoscelis adeliae),Biscoe,N60A2,2009-11-15,42.2,19.5,197,4275,MALE,8.80186,-26.41218
PAL0910,115,Adelie Penguin (Pygoscelis adeliae),Biscoe,N61A1,2009-11-17,39.6,20.7,191,3900,FEMALE,8.80967,-26.78958
PAL0910,116,Adelie Penguin (Pygoscelis adeliae),Biscoe,N61A2,2009-11-17,42.7,18.3,196,4075,MALE,8.91434,-26.42018
PAL0910,117,Adelie Penguin (Pygoscelis adeliae),Torgersen,N63A1,2009-11-18,38.6,17,188,2900,FEMALE,9.18021,-25.77264
PAL0910,118,Adelie Penguin (Pygoscelis adeliae),Torgersen,N63A2,2009-11-18,37.3,20.5,199,3775,MALE,9.49645,-26.36678
PAL0910,119,Adelie Penguin (Pygoscelis adeliae),Torgersen,N64A1,2009-11-22,35.7,17,189,3350,FEMALE,8.96436,-23.90309
PAL0910,120,Adelie Penguin (Pygoscelis adeliae),Torgersen,N64A2,2009-11-22,41.1,18.6,189,3325,MALE,9.32277,-26.09989
PAL0910,121,Adelie Penguin (Pygoscelis adeliae),Torgersen,N66A1,2009-11-17,36.2,17.2,187,3150,FEMALE,9.04296,-26.19444
PAL0910,122,Adelie Penguin (Pygoscelis adeliae),Torgersen,N66A2,2009-11-17,37.7,19.8,198,3500,MALE,9.11066,-26.42563
PAL0910,123,Adelie Penguin (Pygoscelis adeliae),Torgersen,N67A1,2009-11-16,40.2,17,176,3450,FEMALE,9.30722,-25.61039
PAL0910,124,Adelie Penguin (Pygoscelis adeliae),Torgersen,N67A2,2009-11-16,41.4,18.5,202,3875,MALE,9.59462,-25.42621
PAL0910,125,Adelie Penguin (Pygoscelis adeliae),Torgersen,N69A1,2009-11-18,35.2,15.9,186,3050,FEMALE,8.81668,-25.95399
